6,23,23,23,23,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,25,25,25,25,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,25,25,25,25,25,22,0,0,0,6,23,23,5,0,0,0,0,0,0,
24,25,25,25,25,25,22,0,0,0,24,25,25,22,0,0,0,0,0,0,
24,25,25,25,25,25,22,0,0,0,3,11,21,4,0,0,0,0,0,0,
24,25,25,25,6,11,4,0,33,16,16,1,16,16,32,0,33,16,16,16,
3,21,21,21,4,18,0,0,17,0,0,18,0,0,17,0,17,0,0,0,
16,16,16,16,16,1,16,16,31,0,0,18,0,0,17,0,30,32,0,0,
0,20,0,0,0,7,19,19,19,19,19,9,0,0,17,0,0,17,0,0,
0,0,0,20,0,18,0,0,0,0,0,18,0,0,30,16,16,31,0,0,
20,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,
16,16,16,16,16,1,16,16,16,32,0,7,19,19,19,19,19,19,19,19,
0,0,0,29,19,27,0,0,0,17,0,18,0,0,0,0,0,0,0,0,
0,0,0,18,0,0,0,0,0,17,0,18,0,0,0,0,0,0,20,0,
0,0,15,18,15,0,0,0,0,30,16,1,16,16,32,0,0,0,0,0,
0,15,15,18,15,15,0,6,23,23,23,13,23,5,17,0,0,20,0,0,
0,19,19,8,19,19,0,24,25,25,25,25,25,22,17,0,0,0,0,0,
0,15,15,0,15,15,0,24,25,25,25,25,25,22,17,0,0,0,20,0,
0,0,0,0,0,0,0,3,21,21,21,21,21,4,17,0,0,20,20,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,
